dataset	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Odoribacter|Odoribacter_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.58004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03746	0.0	0.0	0.0	0.0	0.08401	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides	0.0	0.89904	2.48661	0.0	0.0	0.93724	0.0	0.0	2.40532	0.0	6.07838	3.0254	0.0	1.5377	0.0	9.23032	0.0	0.0	0.0	13.7635	7.81144	0.0	0.0	6.39779	7.7459	0.08393	0.0	4.40472	1.25534	1.18274	2.51406	1.79298	3.18923	3.81549	0.03674	0.11079	7.97664	6.17401	1.76599	3.31451	1.14712	0.9295	2.94407	1.61836	1.59272	5.63865	2.99553	1.75624	2.05827	2.31343	1.34104	1.05465	0.02572	1.77062	3.79796	7.53487	5.0009	4.0307	1.56237	0.80925	2.26957	2.88507	3.80193	2.84352	0.89284	10.0461	10.25481	2.16641	2.10694	1.34123	2.65453	3.29603	18.59736	4.78743	3.85864	1.95829	0.5207	3.67901	7.24156	1.57189	2.28166	5.54294	1.76798	4.61465	0.02328	27.33306	6.77439	16.57384	3.44863	2.29906	12.54295	17.26327	5.47336	7.89424	2.32938	0.0	1.36458	0.0	2.46752	9.95981	10.40365	18.72572	1.91719	4.9575	6.70526	31.48271	9.93605	4.27005	2.83312	1.22839	1.66054	5.8993	1.88348	12.37254	2.00828	6.70586	4.37482	0.0	3.44676	11.42759	2.27495	0.0	8.07632	9.37836	5.4674	18.50338	4.85512	22.23281	2.38775	1.10093	0.05418	33.23867	4.81902	1.87835	0.0	2.3125	7.91943	0.60247	2.04698	11.52454	12.45995	4.11677	0.78483	1.22833	0.0	7.75724	6.1562	0.0	2.93069	3.86543	2.69405	10.48529	4.79018	10.02173	4.03323	15.03249	31.23849	13.94465	4.02287	4.00384	2.07053	1.85039	6.77838	7.82579	4.86644	3.87726	1.38518	0.00335	7.96925	4.87895	18.51315	7.41373	20.38254	3.92449	5.22691	2.17738	3.18677	0.9423	9.67188	0.0	4.88892	0.0	3.08243	0.0	14.01012	5.4073	4.09019	5.75442	30.00563	3.27414	4.03544	6.79331	3.45403	2.3542	4.49628	7.23459	15.33973	8.3743	5.44861	10.2728	10.81552	1.91235	10.65066	8.33814	3.82121	0.00545	13.78571	9.64526	0.0	3.52124	6.78542	7.64173	0.00643	19.65096	4.0978	8.97541	8.20987	6.25935	2.74145	5.86858	6.86367	6.0307	7.00858	5.16806	1.07348	0.43919	9.90747	0.72137	3.41509	1.07696	2.75331	7.55435	2.47974	5.68596	2.34701	2.88103	3.78048	2.01632
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides|Parabacteroides_distasonis	0.0	0.21268	0.13544	0.0	0.0	0.04425	0.0	0.0	0.30299	0.0	0.20242	0.0	0.0	0.67235	0.0	2.31663	0.0	0.0	0.0	5.727	0.81532	0.0	0.0	1.23742	0.0	0.0	0.0	0.59745	0.00219	0.0924	0.0	1.27142	0.26588	1.99398	0.0	0.0158	0.37837	0.00265	0.0	0.3619	0.0312	0.0	0.23914	0.88676	0.01433	1.67281	0.39237	0.55517	0.11423	0.47695	0.43398	0.07091	0.0	0.49745	0.03135	1.6457	0.0	0.52511	1.16996	0.0	0.96253	0.00299	0.71559	0.0	0.2025	0.13709	3.12227	0.10268	0.59384	0.0	1.32913	0.00611	5.33245	0.00137	0.0	0.0	0.09655	0.11289	0.29245	0.11291	0.29932	0.0	0.01767	0.00117	0.00033	0.66423	6.3511	14.84054	1.90318	0.44841	0.0	0.0	0.07454	2.40648	0.20301	0.0	0.08475	0.0	0.0	0.03565	0.0	11.02681	0.0	2.5668	0.0	31.48271	3.75956	0.0	0.02224	0.20182	1.20124	1.74045	0.0	10.63939	0.44108	3.88543	3.18829	0.0	0.0	0.16567	0.12211	0.0	5.31101	0.0	1.93476	15.5748	0.0	12.82301	0.00798	0.0	0.05418	0.0	0.87845	1.04151	0.0	2.08824	0.0	0.25798	0.12881	0.82537	4.01569	0.0	0.0	0.29335	0.0	0.0	6.1562	0.0	0.00618	0.0	2.6918	2.50117	0.1969	5.91633	2.64175	8.9317	16.78035	0.0	0.07839	0.09733	0.0	0.11473	0.0163	0.57049	0.0	3.21442	0.05748	0.0	3.05098	1.33304	0.0	0.50659	0.0	0.0	2.10778	1.24751	0.0	0.35252	4.71724	0.0	1.98323	0.0	0.0	0.0	11.95285	5.29454	0.06756	0.13211	0.11347	0.01114	0.06105	0.23348	1.74656	0.8898	4.30038	0.0	0.14619	5.59648	1.92199	3.58827	0.71284	0.0	2.17644	7.55427	0.00015	0.0	1.85781	2.79376	0.0	0.0	4.09925	0.0	0.0	19.65096	0.00049	0.0	2.6194	0.0	0.0	4.63211	5.88243	3.82361	0.0	0.21528	0.11757	0.00226	1.16461	0.08882	0.0	0.24134	0.13511	2.43752	0.28762	2.08042	0.71423	0.62395	2.29053	0.18908
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides|Parabacteroides_goldsteinii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47921	0.0	0.0	0.0	0.0	0.01347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23411	0.0	0.52157	0.0	0.0	0.0	0.0	0.0	0.01151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07173	0.11511	0.0	0.0	0.0	0.0	0.80925	0.0	0.0	0.01779	0.81236	0.0	0.0	0.0	0.0	0.00459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06131	1.7333	0.03594	0.0	0.0	0.0	0.01654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01782	0.0	0.0	0.04412	0.0	0.0	0.0	0.0	0.0	0.03176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3013	0.0	0.0	0.00086	0.0	0.00427	0.05094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00145	0.0	0.0	0.19218	2.09655	0.38025	0.0	0.11223	0.0	0.0	0.03897	0.0	0.0	0.02623	0.0	0.0	0.0	0.00296	0.0	0.0	0.0	0.0	0.0	0.11659	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01959	0.0	0.0	0.0	0.0	0.0	1.43933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73084	0.0	0.0	0.0	0.01303	0.0	0.0	0.0	0.0	0.0	0.0	0.24667	0.0	0.0	0.0	0.0	0.61621	0.02695	0.16706	0.32264	0.12415	0.48663	0.0	0.27681	0.0	0.0	0.1163	0.0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides|Parabacteroides_johnsonii	0.0	0.0	0.0	0.0	0.0	0.02428	0.0	0.0	0.00351	0.0	2.5912	0.00026	0.0	0.00117	0.0	6.30274	0.0	0.0	0.0	0.0	0.04899	0.0	0.0	0.0	5.04777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00062	0.0	0.0	0.13352	0.0	0.0	0.0	0.0	0.0	0.0	0.00919	0.0	0.09025	0.0	0.0	0.0	0.0	0.05375	0.0	0.0	0.0	0.24659	0.0	0.0	0.98663	0.0	0.09348	0.0	0.0	0.0	0.0	0.0	0.03548	0.0	1.32541	0.0	0.0	0.0	0.0	0.0764	0.01242	0.0	0.0	0.00097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00024	5.48776	0.0	0.0	0.0	0.0	0.0	0.0	0.00135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00044	0.0	0.0	0.0	2.46402	2.2248	0.0	0.0	0.0	0.0	0.00693	0.0	0.0	0.0	3.94057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0034	0.0	0.0	0.0	0.0	0.26196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49995	0.0	0.0	0.0	0.0	0.03719	0.0	0.0	1.73566	6.62606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.90568	0.0	1.12959	0.0	0.0	0.0	0.0	0.0	0.0	0.00862	0.0	0.00019	0.0	0.00506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.95533	0.29474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02608	0.0	0.0	0.04938	0.0	0.19461	0.00494	0.0	0.0	0.48728	0.86878	0.8251	0.00027	1.62702	0.0	0.0	0.0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides|Parabacteroides_merdae	0.0	0.33098	2.35117	0.0	0.0	0.19519	0.0	0.0	0.29878	0.0	2.80555	0.83613	0.0	0.50024	0.0	0.59748	0.0	0.0	0.0	5.49189	1.28219	0.0	0.0	0.0	0.0	0.0	0.0	1.45984	0.75553	0.55413	2.0702	0.0	0.30684	1.13269	0.0	0.0	2.92632	2.62824	1.76599	2.81909	0.66112	0.9295	2.70493	0.0	0.67278	0.61584	0.8255	0.0	1.24365	0.0	0.90706	0.44878	0.0	0.03704	2.39985	5.88916	3.2668	2.29073	0.0	0.0	0.0	1.3643	2.97508	2.03116	0.0	9.909	0.0	2.06372	1.47303	0.0	0.0	2.6168	0.0	4.78607	1.40898	0.14724	0.41173	0.33937	0.0	1.05217	1.10505	2.18601	1.26499	1.50626	0.00051	26.66884	0.36198	0.0	1.50567	1.85065	12.54295	16.40171	5.38205	0.0	0.0	0.0	0.0	0.0	2.46752	9.92416	10.4023	7.68109	1.91719	2.39069	2.65239	0.0	0.72778	4.27005	2.81089	1.02657	0.42093	1.06671	1.88348	0.0	0.8952	2.82043	1.18653	0.0	3.44632	11.26192	0.0	0.0	0.0	7.15356	3.53264	0.00138	4.85512	0.0	1.81038	0.0	0.0	33.23867	0.0	0.83684	0.0	0.0	7.91943	0.30919	1.91817	10.69918	8.41009	4.11677	0.78483	0.0	0.0	7.49529	0.0	0.0	2.92452	3.86543	0.00225	7.98412	4.59329	0.0	1.39148	0.0	14.45814	13.94465	3.71511	1.80996	0.0	0.0	0.02379	0.0	4.86644	0.62387	0.0	0.0	2.70867	3.54591	18.51243	0.0	20.37959	3.92449	3.11913	0.92987	3.18677	0.0	4.83805	0.0	0.0	0.0	1.95284	0.0	0.0	0.00331	4.02263	5.62231	29.89216	2.00319	3.97439	6.55964	1.70747	1.45935	0.0	5.08126	15.19354	2.44362	3.52662	6.68453	10.10268	1.91235	7.89645	0.0	3.82106	0.00545	11.9279	0.0	0.0	3.52124	0.0	7.34699	0.0	0.0	4.08428	8.97541	5.59047	6.25935	2.74145	1.23646	0.0	1.93435	0.0	4.95278	0.11333	0.0	1.26276	0.05783	1.72529	0.40287	1.17935	0.00706	0.0	1.45139	0.00576	1.36511	1.37366	1.82724
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides|Parabacteroides_sp_20_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.66929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides|Parabacteroides_sp_D13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides|Parabacteroides_unclassified	0.0	0.35539	0.0	0.0	0.0	0.67352	0.0	0.0	1.80004	0.0	0.0	2.18901	0.0	0.36394	0.0	0.0	0.0	0.0	0.0	2.54461	5.66493	0.0	0.0	5.16036	2.69813	0.08393	0.0	2.34743	0.49762	0.3021	0.44387	0.0	2.61651	0.68882	0.03674	0.09499	4.67134	3.53161	0.0	0.0	0.4548	0.0	0.0	0.7316	0.44147	3.35	1.76848	1.20107	0.61013	1.83649	0.0	0.53496	0.02572	1.11065	1.25165	0.0	0.0	0.96828	0.39241	0.0	0.32041	1.51778	0.0	0.0	0.69034	0.0	7.13253	0.0	0.0	1.34123	0.0	0.67312	13.26491	0.0	2.44966	0.90056	0.0	2.75706	6.94911	0.40585	0.87728	3.35693	0.48531	3.10722	0.02244	0.0	0.0	0.0	0.00384	0.0	0.0	0.0	0.0	0.0	2.12638	0.0	1.27984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.00875	0.0	5.44871	0.0	0.0	0.0	0.0	3.09215	0.0	1.73314	0.67199	0.0	0.0	0.0	0.0	0.0	2.15283	0.0	0.0	0.0	0.0	2.92634	0.0	9.40553	0.51153	1.10093	0.0	0.0	0.0	0.0	0.0	0.22426	0.0	0.0353	0.0	0.0	0.0	0.0	0.0	0.93499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.60545	0.0	6.09934	0.0	0.0	0.0	0.0	1.69028	0.0	0.0	7.2553	0.0	0.0	1.32771	0.00335	2.18336	0.0	0.0	6.90714	0.0	0.0	0.0	0.0	0.0	0.58978	0.0	0.0	0.0	0.0	0.0	0.0	2.05727	0.10945	0.0	0.0	0.0	1.23161	0.0	0.0	0.0	0.0	0.1959	0.0	0.0	0.3342	0.0	0.0	0.0	0.0	0.57777	0.78388	0.0	0.0	0.0	6.8515	0.0	0.0	0.0	0.0	0.00643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98125	0.0	7.00858	0.0	0.79321	0.43693	0.0	0.54283	1.52274	0.11011	0.82743	3.75436	1.36702	1.87706	0.0	0.89196	0.0	0.0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01379	0.0	0.00372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01332	0.0	0.0	0.0	0.0	0.0	0.01961	0.0	0.0	0.0	0.01339	0.00013	0.0	0.0	0.0	0.0	0.0	0.0	0.0027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76145	0.0	0.0	0.0	0.0	0.0	0.00414	0.00021	0.0	0.0	0.00547	0.00438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10459	7e-05	0.0	0.0	0.0	0.0195	0.00148	0.0	0.0	0.00545	0.00045	0.0	0.0	0.0	0.01059	0.00077	0.0	0.0	0.0	0.0	0.0	0.0	0.00222	0.00024	0.0	0.0	0.00054	0.0	0.00014	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00159	0.0	0.0	0.0	0.00377	0.0	0.0	0.00254	0.0	0.0	0.0	0.0	0.0	0.0	0.06919	0.0	0.0	0.0	0.01249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00171	0.0	0.0	0.0	0.0	0.0	0.00095	0.02154	0.0	0.0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas|Porphyromonas_asaccharolytica	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00714	0.0	0.0	0.0	0.0	0.0	0.00572	0.0	0.0	0.0	0.00042	0.00013	0.0	0.0	0.0	0.0	0.0	0.0	0.0027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29644	0.0	0.0	0.0	0.0	0.0	0.00028	0.0	0.0	0.0	0.00394	0.00438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09212	7e-05	0.0	0.0	0.0	0.00857	0.0	0.0	0.0	0.00545	0.00045	0.0	0.0	0.0	0.0	0.00077	0.0	0.0	0.0	0.0	0.0	0.0	0.00222	0.00024	0.0	0.0	0.00054	0.0	0.00014	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00159	0.0	0.0	0.0	0.00324	0.0	0.0	0.00254	0.0	0.0	0.0	0.0	0.0	0.0	0.01917	0.0	0.0	0.0	0.01102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00171	0.0	0.0	0.0	0.0	0.0	0.00021	0.00313	0.0	0.0
