dataset	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	HMP	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT	MetaHIT
Archaea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2722	0.0	4.02688	0.41449	0.0	0.06246	0.0	0.00236	0.0	0.0	0.0	0.0	0.12353	0.0	0.0	0.11491	0.51887	0.0	0.0	0.06228	0.11157	0.28774	0.00923	0.11188	0.0	0.07485	0.11284	0.0	0.0	0.00727	0.0	0.0	0.20208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10727	0.07591	0.16434	0.29587	0.10809	0.0	0.49139	0.0	0.04617	0.00345	0.65259	0.0	0.0	0.18231	0.0	1.24506	0.16815	0.0	0.0	0.0	0.13671	0.12809	0.0	0.0	0.0	0.14813	0.0	0.05149	0.02183	1.89886	0.0	0.33475	0.18193	0.0	0.0	0.0	0.0	0.0	0.10135	0.07433	0.0	0.17293	0.0	0.0	0.0656	0.04923	0.0	0.0	0.0	0.0	0.0	0.0	0.00526	0.0	0.04175	0.56655	0.0	0.0	0.0	0.0	0.0	1.42815	1.13341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11599	0.0	0.03899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00348	0.00542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04933	0.0	0.0	0.04706	0.0	0.20798	0.0	0.1402	0.0	0.00753	0.0	0.15045	0.0	0.0	0.0	0.0	0.03937	0.0	0.0	0.0	0.0	0.36472	0.0	0.0	0.0	0.0	0.02396	0.0	0.0	0.0678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00825	0.02921	0.0	0.0	0.03163	0.0	0.0	0.04785	0.0	0.0	0.0	0.0	0.0048	0.0	0.0	0.0	0.05468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18287	0.0	0.0	0.0	0.29339	1.9561	0.10097	0.0	0.0	9.59061	4.81861	0.0	0.0	0.00911	0.0	3.40237	0.24253
Archaea|Euryarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2722	0.0	4.02688	0.41449	0.0	0.06246	0.0	0.00236	0.0	0.0	0.0	0.0	0.12353	0.0	0.0	0.11491	0.51887	0.0	0.0	0.06228	0.11157	0.28774	0.00923	0.11188	0.0	0.07485	0.11284	0.0	0.0	0.00727	0.0	0.0	0.20208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10727	0.07591	0.16434	0.29587	0.10809	0.0	0.49139	0.0	0.04617	0.00345	0.65259	0.0	0.0	0.18231	0.0	1.24506	0.16815	0.0	0.0	0.0	0.13671	0.12809	0.0	0.0	0.0	0.14813	0.0	0.05149	0.02183	1.89886	0.0	0.33475	0.18193	0.0	0.0	0.0	0.0	0.0	0.10135	0.07433	0.0	0.17293	0.0	0.0	0.0656	0.04923	0.0	0.0	0.0	0.0	0.0	0.0	0.00526	0.0	0.04175	0.56655	0.0	0.0	0.0	0.0	0.0	1.42815	1.13341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11599	0.0	0.03899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00348	0.00542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04933	0.0	0.0	0.04706	0.0	0.20798	0.0	0.1402	0.0	0.00753	0.0	0.15045	0.0	0.0	0.0	0.0	0.03937	0.0	0.0	0.0	0.0	0.36472	0.0	0.0	0.0	0.0	0.02396	0.0	0.0	0.0678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00825	0.02921	0.0	0.0	0.03163	0.0	0.0	0.04785	0.0	0.0	0.0	0.0	0.0048	0.0	0.0	0.0	0.05468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18287	0.0	0.0	0.0	0.29339	1.9561	0.10097	0.0	0.0	9.59061	4.81861	0.0	0.0	0.00911	0.0	3.40237	0.24253
Archaea|Euryarchaeota|Methanobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2722	0.0	4.0086	0.41449	0.0	0.06246	0.0	0.00236	0.0	0.0	0.0	0.0	0.12353	0.0	0.0	0.11491	0.51887	0.0	0.0	0.06228	0.1019	0.28774	0.00923	0.11188	0.0	0.07485	0.11284	0.0	0.0	0.00727	0.0	0.0	0.19758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10727	0.07591	0.16434	0.29587	0.10809	0.0	0.48711	0.0	0.04617	0.00345	0.64516	0.0	0.0	0.18231	0.0	1.23357	0.16815	0.0	0.0	0.0	0.13282	0.12809	0.0	0.0	0.0	0.14813	0.0	0.05149	0.02183	1.89886	0.0	0.32964	0.18193	0.0	0.0	0.0	0.0	0.0	0.10135	0.07433	0.0	0.17293	0.0	0.0	0.0656	0.04923	0.0	0.0	0.0	0.0	0.0	0.0	0.00526	0.0	0.04175	0.56655	0.0	0.0	0.0	0.0	0.0	1.42815	1.13341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11599	0.0	0.03899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00348	0.00542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04933	0.0	0.0	0.04706	0.0	0.20798	0.0	0.1402	0.0	0.00753	0.0	0.15045	0.0	0.0	0.0	0.0	0.03937	0.0	0.0	0.0	0.0	0.36472	0.0	0.0	0.0	0.0	0.02396	0.0	0.0	0.0678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00825	0.02921	0.0	0.0	0.03163	0.0	0.0	0.04785	0.0	0.0	0.0	0.0	0.0048	0.0	0.0	0.0	0.05468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18287	0.0	0.0	0.0	0.29339	1.9561	0.10097	0.0	0.0	9.52877	4.77123	0.0	0.0	0.00911	0.0	3.39891	0.23857
Archaea|Euryarchaeota|Methanobacteria|Methanobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2722	0.0	4.0086	0.41449	0.0	0.06246	0.0	0.00236	0.0	0.0	0.0	0.0	0.12353	0.0	0.0	0.11491	0.51887	0.0	0.0	0.06228	0.1019	0.28774	0.00923	0.11188	0.0	0.07485	0.11284	0.0	0.0	0.00727	0.0	0.0	0.19758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10727	0.07591	0.16434	0.29587	0.10809	0.0	0.48711	0.0	0.04617	0.00345	0.64516	0.0	0.0	0.18231	0.0	1.23357	0.16815	0.0	0.0	0.0	0.13282	0.12809	0.0	0.0	0.0	0.14813	0.0	0.05149	0.02183	1.89886	0.0	0.32964	0.18193	0.0	0.0	0.0	0.0	0.0	0.10135	0.07433	0.0	0.17293	0.0	0.0	0.0656	0.04923	0.0	0.0	0.0	0.0	0.0	0.0	0.00526	0.0	0.04175	0.56655	0.0	0.0	0.0	0.0	0.0	1.42815	1.13341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11599	0.0	0.03899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00348	0.00542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04933	0.0	0.0	0.04706	0.0	0.20798	0.0	0.1402	0.0	0.00753	0.0	0.15045	0.0	0.0	0.0	0.0	0.03937	0.0	0.0	0.0	0.0	0.36472	0.0	0.0	0.0	0.0	0.02396	0.0	0.0	0.0678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00825	0.02921	0.0	0.0	0.03163	0.0	0.0	0.04785	0.0	0.0	0.0	0.0	0.0048	0.0	0.0	0.0	0.05468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18287	0.0	0.0	0.0	0.29339	1.9561	0.10097	0.0	0.0	9.52877	4.77123	0.0	0.0	0.00911	0.0	3.39891	0.23857
Archaea|Euryarchaeota|Methanobacteria|Methanobacteriales|Methanobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2722	0.0	4.0086	0.41449	0.0	0.06246	0.0	0.00236	0.0	0.0	0.0	0.0	0.12353	0.0	0.0	0.11491	0.51887	0.0	0.0	0.06228	0.1019	0.28774	0.00923	0.11188	0.0	0.07485	0.11284	0.0	0.0	0.00727	0.0	0.0	0.19758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10727	0.07591	0.16434	0.29587	0.10809	0.0	0.48711	0.0	0.04617	0.00345	0.64516	0.0	0.0	0.18231	0.0	1.23357	0.16815	0.0	0.0	0.0	0.13282	0.12809	0.0	0.0	0.0	0.14813	0.0	0.05149	0.02183	1.89886	0.0	0.32964	0.18193	0.0	0.0	0.0	0.0	0.0	0.10135	0.07433	0.0	0.17293	0.0	0.0	0.0656	0.04923	0.0	0.0	0.0	0.0	0.0	0.0	0.00526	0.0	0.04175	0.56655	0.0	0.0	0.0	0.0	0.0	1.42815	1.13341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11599	0.0	0.03899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00348	0.00542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04933	0.0	0.0	0.04706	0.0	0.20798	0.0	0.1402	0.0	0.00753	0.0	0.15045	0.0	0.0	0.0	0.0	0.03937	0.0	0.0	0.0	0.0	0.36472	0.0	0.0	0.0	0.0	0.02396	0.0	0.0	0.0678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00825	0.02921	0.0	0.0	0.03163	0.0	0.0	0.04785	0.0	0.0	0.0	0.0	0.0048	0.0	0.0	0.0	0.05468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18287	0.0	0.0	0.0	0.29339	1.9561	0.10097	0.0	0.0	9.52877	4.77123	0.0	0.0	0.00911	0.0	3.39891	0.23857
Archaea|Euryarchaeota|Methanobacteria|Methanobacteriales|Methanobacteriaceae|Methanobrevibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2722	0.0	4.0086	0.41449	0.0	0.06246	0.0	0.00236	0.0	0.0	0.0	0.0	0.12353	0.0	0.0	0.11491	0.51887	0.0	0.0	0.06228	0.1019	0.26438	0.00923	0.09816	0.0	0.07485	0.11284	0.0	0.0	0.00727	0.0	0.0	0.19758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1037	0.07591	0.16434	0.29587	0.10809	0.0	0.48711	0.0	0.04617	0.00345	0.61712	0.0	0.0	0.18231	0.0	1.23357	0.16815	0.0	0.0	0.0	0.13282	0.12273	0.0	0.0	0.0	0.14813	0.0	0.05149	0.02183	1.89886	0.0	0.32964	0.1696	0.0	0.0	0.0	0.0	0.0	0.10135	0.07433	0.0	0.17293	0.0	0.0	0.0656	0.04923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04175	0.56655	0.0	0.0	0.0	0.0	0.0	1.42815	1.13341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11599	0.0	0.03899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00348	0.00542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04933	0.0	0.0	0.04706	0.0	0.20798	0.0	0.1402	0.0	0.00753	0.0	0.15045	0.0	0.0	0.0	0.0	0.03937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02396	0.0	0.0	0.0678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00825	0.02921	0.0	0.0	0.03163	0.0	0.0	0.04785	0.0	0.0	0.0	0.0	0.0048	0.0	0.0	0.0	0.05143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18287	0.0	0.0	0.0	0.27176	1.9561	0.09957	0.0	0.0	9.52431	4.77123	0.0	0.0	0.00911	0.0	3.39891	0.23857
Archaea|Euryarchaeota|Methanobacteria|Methanobacteriales|Methanobacteriaceae|Methanobrevibacter|Methanobrevibacter_smithii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20868	0.0	3.71459	0.36731	0.0	0.04493	0.0	0.0	0.0	0.0	0.0	0.0	0.10488	0.0	0.0	0.10982	0.51887	0.0	0.0	0.03904	0.1019	0.23886	0.00747	0.0848	0.0	0.07257	0.10164	0.0	0.0	0.00727	0.0	0.0	0.16527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1037	0.07591	0.15473	0.27497	0.07284	0.0	0.33325	0.0	0.0373	0.00345	0.43288	0.0	0.0	0.15951	0.0	1.23357	0.15141	0.0	0.0	0.0	0.13282	0.12273	0.0	0.0	0.0	0.14547	0.0	0.05149	0.00247	1.89886	0.0	0.32964	0.1696	0.0	0.0	0.0	0.0	0.0	0.10135	0.05455	0.0	0.17293	0.0	0.0	0.0656	0.03661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04175	0.56655	0.0	0.0	0.0	0.0	0.0	1.40054	1.13341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11525	0.0	0.02674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00209	0.00542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04933	0.0	0.0	0.04706	0.0	0.20798	0.0	0.1402	0.0	0.00753	0.0	0.15045	0.0	0.0	0.0	0.0	0.03497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02396	0.0	0.0	0.0678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00482	0.02921	0.0	0.0	0.02796	0.0	0.0	0.04661	0.0	0.0	0.0	0.0	0.0048	0.0	0.0	0.0	0.05143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18287	0.0	0.0	0.0	0.23214	1.62925	0.08295	0.0	0.0	6.87388	4.12483	0.0	0.0	0.00739	0.0	3.31629	0.18165
Archaea|Euryarchaeota|Methanobacteria|Methanobacteriales|Methanobacteriaceae|Methanobrevibacter|Methanobrevibacter_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06352	0.0	0.29401	0.04719	0.0	0.01753	0.0	0.00236	0.0	0.0	0.0	0.0	0.01864	0.0	0.0	0.00509	0.0	0.0	0.0	0.02323	0.0	0.02553	0.00176	0.01336	0.0	0.00227	0.0112	0.0	0.0	0.0	0.0	0.0	0.03231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0096	0.0209	0.03525	0.0	0.15386	0.0	0.00886	0.0	0.18424	0.0	0.0	0.02281	0.0	0.0	0.01674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00266	0.0	0.0	0.01936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01978	0.0	0.0	0.0	0.0	0.0	0.01262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00074	0.0	0.01224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00343	0.0	0.0	0.0	0.00367	0.0	0.0	0.00124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03962	0.32685	0.01661	0.0	0.0	2.65043	0.64641	0.0	0.0	0.00172	0.0	0.08262	0.05691
Archaea|Euryarchaeota|Methanobacteria|Methanobacteriales|Methanobacteriaceae|Methanosphaera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02336	0.0	0.01372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02162	0.0	0.00141	0.0	0.0	0.00446	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Archaea|Euryarchaeota|Methanobacteria|Methanobacteriales|Methanobacteriaceae|Methanosphaera|Methanosphaera_stadtmanae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02336	0.0	0.01372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02162	0.0	0.00141	0.0	0.0	0.00446	0.0	0.0	0.0	0.0	0.0	0.0	0.0
